Entry_Date,Exit_Date,Regime,Lots,CE_Entry,PE_Entry,Straddle_Entry,CE_Exit,PE_Exit,Straddle_Exit,Gross_PnL,Taxes,Slippage_Cost,Net_PnL,Equity,Reason,Peak,Drawdown_Pct
2023-05-23 10:05:00,2023-05-23 10:35:00,GREEN,4,63.8,62.25,126.11,63.77,58.87,122.64,-903.34,117.24,32.34,-1020.58,498979.42,TIME_OUT,498979.42,0.0
2023-05-23 10:40:00,2023-05-23 11:10:00,GREEN,4,70.9,52.35,123.31,71.21,52.57,123.79,123.88,117.29,32.12,6.59,498986.0,TIME_OUT,498986.0,0.0
2023-05-23 11:15:00,2023-05-23 11:45:00,GREEN,4,73.2,51.6,124.86,68.32,53.62,121.94,-760.08,116.76,32.08,-876.85,498109.16,TIME_OUT,498986.0,0.18
2023-05-23 11:50:00,2023-05-23 12:20:00,GREEN,4,63.5,57.4,120.96,67.97,53.52,121.49,137.48,115.98,31.52,21.5,498130.66,TIME_OUT,498986.0,0.17
2023-05-23 12:25:00,2023-05-23 12:55:00,GREEN,4,64.9,55.6,120.56,69.22,50.37,119.59,-252.22,115.13,31.22,-367.35,497763.31,TIME_OUT,498986.0,0.25
2023-05-23 13:00:00,2023-05-23 13:30:00,GREEN,4,73.25,47.5,120.81,62.02,60.52,122.54,449.36,116.39,31.64,332.97,498096.28,TIME_OUT,498986.0,0.18
2023-05-23 13:35:00,2023-05-23 14:05:00,GREEN,4,63.15,52.95,116.16,63.82,50.82,114.64,-394.0,112.41,30.0,-506.42,497589.87,TIME_OUT,498986.0,0.28
2023-05-23 14:10:00,2023-05-23 14:40:00,GREEN,4,63.45,51.0,114.51,57.92,57.22,115.14,165.15,112.37,29.85,52.78,497642.65,TIME_OUT,498986.0,0.27
2023-05-24 09:45:00,2023-05-24 10:15:00,GREEN,4,54.4,52.85,107.3,70.46,41.18,111.64,1128.54,109.81,28.46,1018.72,498661.37,TIME_OUT,498986.0,0.07
2023-05-24 11:00:00,2023-05-24 11:11:00,GREEN,4,46.7,55.55,102.3,66.97,61.57,128.54,6820.99,116.03,30.01,6704.96,505366.33,TARGET,505366.33,0.0
2023-05-26 10:15:00,2023-05-26 10:45:00,GREEN,2,82.15,101.35,183.59,93.95,89.91,183.86,34.62,99.28,23.88,-64.67,505301.66,TIME_OUT,505366.33,0.01
2023-05-26 10:50:00,2023-05-26 11:20:00,GREEN,2,92.35,91.4,183.84,107.4,78.06,185.46,210.0,99.63,24.0,110.36,505412.02,TIME_OUT,505412.02,0.0
2023-05-26 12:10:00,2023-05-26 12:40:00,GREEN,2,94.8,89.45,184.34,90.2,92.4,182.61,-225.35,99.08,23.85,-324.44,505087.58,TIME_OUT,505412.02,0.06
2023-05-26 12:45:00,2023-05-26 13:15:00,GREEN,2,93.15,88.7,181.94,83.61,96.7,180.31,-212.05,98.42,23.55,-310.47,504777.11,TIME_OUT,505412.02,0.13
2023-05-26 13:20:00,2023-05-26 13:50:00,GREEN,2,88.65,92.25,180.99,105.4,77.06,182.46,190.88,98.8,23.62,92.08,504869.19,TIME_OUT,505412.02,0.11
2023-05-26 14:40:00,2023-05-26 15:10:00,GREEN,2,93.25,86.55,179.89,94.85,81.36,176.21,-478.15,97.42,23.15,-575.57,504293.63,TIME_OUT,505412.02,0.22
2023-05-29 10:20:00,2023-05-29 10:50:00,GREEN,3,85.25,77.55,162.88,95.4,64.97,160.37,-489.77,115.66,31.52,-605.43,503688.2,TIME_OUT,505412.02,0.34
2023-05-30 11:25:00,2023-05-30 11:55:00,YELLOW,1,72.55,59.3,131.92,68.07,61.42,129.49,-158.0,65.64,8.5,-223.64,503464.56,TIME_OUT,505412.02,0.39
2023-05-30 12:10:00,2023-05-30 12:20:00,GREEN,3,75.25,54.6,129.91,78.16,74.56,152.72,4447.69,109.5,27.56,4338.19,507802.75,TARGET,507802.75,0.0
2023-05-30 12:25:00,2023-05-30 12:55:00,YELLOW,2,73.05,56.6,129.71,68.32,58.87,127.19,-328.7,83.44,16.7,-412.14,507390.62,TIME_OUT,507802.75,0.08
2023-05-30 13:00:00,2023-05-30 13:30:00,YELLOW,2,70.85,55.65,126.56,75.21,50.97,126.19,-48.93,82.99,16.43,-131.92,507258.7,TIME_OUT,507802.75,0.11
2023-05-30 13:40:00,2023-05-30 14:10:00,GREEN,4,79.05,47.5,126.61,51.32,69.27,120.59,-1566.14,116.47,32.14,-1682.61,505576.09,TIME_OUT,507802.75,0.44
