date,time,datetime,spot,iv,CE_open,CE_high,CE_low,CE_close,CE_volume,CE_oi,PE_open,PE_high,PE_low,PE_close,PE_volume,PE_oi,Straddle_Price
23-05-2023,09:15:00,23-05-2023 09:15,18381.15,10.195439,47,80.6,40.1,55.15,8164750,7708100,82.05,92.45,50.05,73.35,4123850,1803150,128.5
23-05-2023,09:20:00,23-05-2023 09:20,18372.8,11.719852,83.5,84.95,76.05,83.55,2963900,3177950,50.4,56.75,49.75,51.75,3109500,1002050,135.3
23-05-2023,09:25:00,23-05-2023 09:25,18379.65,11.469606,55.75,64.95,54.25,61.65,8357700,7708100,73.2,74.25,66.1,67.35,3259600,1803150,129
23-05-2023,09:30:00,23-05-2023 09:30,18401,10.522187,61.1,68.6,61.1,66.95,7497550,8967850,66.7,66.7,61.1,62.2,3616500,4717100,129.15
23-05-2023,09:35:00,23-05-2023 09:35,18396.3,10.815722,66.8,66.8,61.15,66.1,5031550,10129250,62.05,65.95,60.6,61.65,2646650,5479200,127.75
23-05-2023,09:40:00,23-05-2023 09:40,18404.65,11.585924,66.55,69.95,65.25,68.5,5210650,10513350,61,62.05,57.45,58.95,3145550,6367700,127.45
23-05-2023,09:45:00,23-05-2023 09:45,18393.35,11.1315,68.65,69.15,63.2,65.15,4585950,10651450,58.65,62.95,57.75,61.65,3452900,6709350,126.8
23-05-2023,09:50:00,23-05-2023 09:50,18389.1,10.887475,64.8,66.9,62.4,64.5,4364100,10341350,61.7,63.9,59.1,62.3,3224650,7204100,126.8
23-05-2023,09:55:00,23-05-2023 09:55,18397.3,11.050424,64.5,69.2,63.85,67,3313900,10725700,62.15,62.7,56.2,59.2,2566550,7379050,126.2
23-05-2023,10:00:00,23-05-2023 10:00,18386.55,10.608659,66.85,68.75,63.35,64,2799100,10858250,59.45,62.85,57.55,61.9,2480600,7505700,125.9
23-05-2023,10:05:00,23-05-2023 10:05,18387.45,10.851696,64.3,66.5,59.25,62.55,3340050,10952050,62.1,66,58.85,62.8,2610400,7597800,125.35
23-05-2023,10:10:00,23-05-2023 10:10,18391.4,10.904467,62.35,65.9,61.75,64.1,2045350,11083700,63.1,63.8,58.9,61.1,2172800,7974350,125.2
23-05-2023,10:15:00,23-05-2023 10:15,18385.45,10.808478,64.4,66.65,58.05,60.1,3291150,11125900,60.95,65.85,58.25,63.5,3434000,8055700,123.6
23-05-2023,10:20:00,23-05-2023 10:20,18396.25,10.796768,60.1,65.45,59.25,65.45,2283600,11142150,63.65,64.45,58.3,58.3,2070800,7930450,123.75
23-05-2023,10:25:00,23-05-2023 10:25,18394,10.993537,65.55,66.6,64,65.35,2366050,11092750,58.15,59.9,56.85,58.05,1700250,8108900,123.4
23-05-2023,10:30:00,23-05-2023 10:30,18396.55,10.868482,65.15,66,62.15,65.9,2113650,11214750,57.9,60.5,57.2,57.2,1608300,8158200,123.1
23-05-2023,10:35:00,23-05-2023 10:35,18400.25,11.248657,65.9,70.5,63.8,69.95,3903700,11178500,57.3,59.3,52.5,53.1,2848850,8368500,123.05
23-05-2023,10:40:00,23-05-2023 10:40,18406.3,10.967624,69.8,73,69.45,71.55,3900500,11164950,53,53.8,51.35,52.45,2224550,9006950,124
23-05-2023,10:45:00,23-05-2023 10:45,18406.75,11.014067,71.95,74.6,70.35,72,3512750,11142100,52.05,53.7,50.3,52.4,2208950,9131100,124.4
23-05-2023,10:50:00,23-05-2023 10:50,18402,10.948359,72.1,72.4,67.35,69,2339400,11154450,52.25,55.95,52,54.85,2068600,9259200,123.85
23-05-2023,10:55:00,23-05-2023 10:55,18401.25,10.852845,68.85,71.45,67.85,68,1681350,11308750,54.9,55.95,52.85,55.05,1464350,9304000,123.05
23-05-2023,11:00:00,23-05-2023 11:00,18400.85,10.98024,67.8,69.7,65,68.45,2028450,11270500,55.55,57.55,53.8,54.8,1909200,9291000,123.25
23-05-2023,11:05:00,23-05-2023 11:05,18406.1,10.817288,68,71.65,68,70.3,1884250,11292450,54.7,55,52.1,53.8,1137800,9318150,124.1
23-05-2023,11:10:00,23-05-2023 11:10,18411.85,10.652626,70.05,73.5,69.95,72.5,2910050,11389650,53.65,53.75,50.9,52,1722350,9514600,124.5
23-05-2023,11:15:00,23-05-2023 11:15,18407.2,11.221021,72.1,73.4,68.7,68.75,2124950,11432300,52.1,54.95,51.4,54.9,1539900,9531450,123.65
